run_name,category,avg_psnr,best_epoch,latest_epoch,ckpt_tag,plane0_psnr,plane20_psnr,plane39_psnr,inference_tags,arg_arch,arg_diopter_mode,arg_energy_head,arg_channels,arg_bottleneck_modes,arg_use_film,arg_long_skip,arg_activation,arg_num_attn_heads,arg_epochs,arg_batch_size,arg_lr,arg_weight_decay,arg_gm_steps,arg_gm_step_size,arg_eta_schedule,arg_eta_min,arg_langevin_noise,arg_noise_method,arg_noise_scale,arg_clip_image,arg_amp,arg_compositional_ebm,arg_enable_struct,arg_enable_percep,arg_enable_phys,arg_w_struct,arg_w_percep,arg_w_phys,arg_alpha_struct,arg_beta_struct,arg_enable_phys_blur,arg_enable_phys_occ,arg_enable_phys_energy,arg_enable_phys_bokeh,arg_lambda_struct,arg_lambda_percep,arg_lambda_phys,arg_lambda_blur_edge,arg_lambda_occlusion,arg_lambda_energy_conserv,arg_lambda_bokeh,arg_enable_energy_dist,arg_weight_energy_dist,arg_energy_dist_scale,arg_enable_energy_anchor,arg_weight_energy_anchor,arg_single_scene_only,arg_num_scenes,arg_train_bypass,arg_bypass_lambda,arg_bypass_gamma,arg_bypass_warmup,arg_bypass_ramp,arg_sharp_prior,arg_sharp_lambda,arg_sharp_gamma,arg_infer_sharp,arg_infer_sharp_lambda,arg_infer_sharp_gamma,arg_infer_sharp_start,arg_compile,arg_compile_mode,arg_interleave_rate,arg_phys_gamma,arg_kappa_occ,arg_energy_pool_k,arg_bokeh_threshold,arg_bokeh_dilate_k,arg_force_compositional,arg_new_run_on_resume,arg_unmatch_ratio,arg_save_every,arg_scene_idx,arg_plane_idx,arg_resume,arg_resume_dir,arg_data_dir,arg_generated_data_dir,arg_output_dir,arg_run_dir,arg_num_workers,arg_timestamp,arg_ckpt_tag,arg_sharp_gamma_learnable,arg_sharp_gamma_mode,arg_sharp_lambda_learnable,arg_sharp_lambda_mode,arg_sharp_prior_method
gm_scene0_coc_abs_linear_20260416_211500,single_scene,33.027710596720375,60,60,,31.55301856994629,33.847572326660156,33.68254089355469,best_psnr,resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,TRUE,FALSE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,,,0,5,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260416_211500,all,FALSE,,FALSE,,
gm_coc_abs_conv1x1_linear_20260409_175203,10scene,32.2446346282959,30,32,,31.09423828125,33.676822662353516,31.96284294128418,"best, best_psnr, latest",resnet_film,coc_abs,conv1x1,128,,FALSE,FALSE,silu,,100,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,10,FALSE,5.0,30.0,0,10,TRUE,1.0,100.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,,,,,,,,0,5,0,"0,20,39",runs_gm/gm_coc_abs_conv1x1_linear_20260409_175203/latest.pth,runs_gm/gm_coc_abs_conv1x1_linear_20260409_175203,../varifocal/data,,runs_gm,,4,20260412_221941,all,FALSE,,FALSE,,
gm_coc_abs_conv1x1_linear_20260423_181718,90scene,32.05296643575033,5,5,,31.12981605529785,33.12538528442383,31.903697967529297,"best, best_psnr, latest",uresnet_film,coc_abs,conv1x1,128,,FALSE,FALSE,silu,,20,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,FALSE,-1,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,1,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260423_181718,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260330_131103,single_scene,31.928165435791016,99,100,,30.8541259765625,32.40462875366211,32.52574157714844,"best, best_psnr, latest",resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,100,1,0.0001,1e-05,50,0.2,linear,0.002,TRUE,constant_scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,,FALSE,10.0,30.0,,,,,,,2,,,,,,,,0,10,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260330_131103,all,,,,,
gm_scene0_coc_abs_linear_20260428_123717,single_scene,31.822589874267578,49,51,,30.315227508544922,32.59698486328125,32.55555725097656,best_psnr,uresnet_fno,coc_abs,fc,32,16,FALSE,FALSE,silu,8,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,FALSE,FALSE,0,10,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260428_123717,all,FALSE,,FALSE,,
gm_scene0_coc_abs_conv1x1_linear_20260401_164601,single_scene,31.718462626139324,200,200,,31.107084274291992,32.93196105957031,31.116342544555664,"best, best_psnr, latest",resnet_film,coc_abs,conv1x1,128,,FALSE,FALSE,silu,,200,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,,FALSE,10.0,100.0,,,,,,,2,,,,,,,,0,5,0,"0,20,39",runs_gm/gm_scene0_coc_abs_conv1x1_linear_20260401_164601/latest.pth,runs_gm/gm_scene0_coc_abs_conv1x1_linear_20260401_164601,../varifocal/data,,runs_gm,,4,20260403_232939,all,,,,,
gm_scene0_coc_abs_linear_20260421_162835_resumed,single_scene,31.690020243326824,201,203,,31.259593963623047,33.49832534790039,30.31214141845703,best_psnr,resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,250,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,TRUE,TRUE,TRUE,TRUE,FALSE,1.0,0.1,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,TRUE,TRUE,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260325_200924/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260325_200924,../varifocal/data,,runs_gm,,4,20260421_162835,all,FALSE,,FALSE,,
gm_scene0_coc_abs_linear_20260421_181417_resumed,single_scene,30.521907170613606,201,206,,30.013492584228516,31.880090713500977,29.672138214111328,best_psnr,resnet_film,coc_abs,fc,128,,FALSE,FALSE,silu,,250,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,constant_scale,0.1,,TRUE,TRUE,TRUE,TRUE,FALSE,1.0,0.1,1.0,1.0,0.0,FALSE,FALSE,FALSE,FALSE,1e-07,1e-07,1e-07,1.0,1.0,1.0,1.0,FALSE,0.01,1.0,FALSE,0.01,TRUE,0,FALSE,5.0,30.0,0,10,FALSE,10.0,30.0,FALSE,5.0,30.0,0.5,FALSE,reduce-overhead,2,30.0,5.0,31,0.95,15,TRUE,TRUE,0,10,0,"0,20,39",runs_gm/gm_scene0_coc_abs_linear_20260325_200924/latest.pth,runs_gm/gm_scene0_coc_abs_linear_20260325_200924,../varifocal/data,,runs_gm,,4,20260421_181417,all,FALSE,,FALSE,,
gm_scene0_coc_linear_20260319_150917,single_scene,30.427189509073894,38,100,,28.55487823486328,30.666311264038086,32.06037902832031,".ipynb_checkpoints, best, best_psnr, latest",resnet,coc,fc,128,,TRUE,,,,100,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,0,5,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260319_150917,all,,,,,
gm_scene0_coc_abs_linear_20260323_124739,single_scene,29.7089360555013,56,71,,28.02960205078125,29.971927642822266,31.12527847290039,"best, best_psnr, latest",resnet_film,coc_abs,fc,128,,FALSE,FALSE,,,100,1,0.0001,1e-05,50,0.2,linear,0.002,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,,,,,,,,,,,,,,,2,,,,,,,,0,5,0,"0,20,39",,,../varifocal/data,,runs_gm,,4,20260323_124739,all,,,,,
